epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1598.68,1.20084,1.50968,1.49746,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,1614.89,1.18111,1.40731,1.47643,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,1631.06,1.13962,1.51925,1.42985,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,1647.26,1.2082,1.38098,1.48536,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,1666.66,1.15993,1.36316,1.44289,0,0,0,0,0,53.4596,0,3.98e-05,3.98e-05,3.98e-05
1,67.2904,1.49419,2.02935,1.65569,0,0,0,0,0,0,0,0.000663477,0.000663477,0.000663477
2,133.749,1.94367,2.54007,2.04742,0,0,0,0,0,0,0,0.00131698,0.00131698,0.00131698
3,199.939,1.83593,2.36817,1.9748,0,0,0,0,0,0,0,0.00195727,0.00195727,0.00195727
4,265.863,1.69695,2.13601,1.86212,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,331.887,1.55603,1.91571,1.7496,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,397.9,1.42859,1.77271,1.65174,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,463.896,1.29306,1.55652,1.54632,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,529.907,1.23192,1.48006,1.51142,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,597.257,1.17583,1.36048,1.45101,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,665.94,1.10331,1.29505,1.40404,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,734.429,1.02638,1.22787,1.3618,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,802.993,0.99246,1.1553,1.34019,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,871.693,0.96204,1.14169,1.31501,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,940.372,0.94002,1.08996,1.2904,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,1009.05,0.91377,1.07855,1.28346,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,1077.82,0.87092,1.00155,1.23938,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,1143.82,0.8383,0.97347,1.22647,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,1209.78,0.81438,0.93708,1.21565,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,1275.8,0.83836,1.00835,1.23174,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,1341.8,0.76491,0.90821,1.17485,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,1407.79,0.76818,0.90967,1.18309,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,1473.73,0.721,0.81878,1.14106,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,1539.68,0.76786,0.87719,1.18508,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,1605.67,0.72133,0.84674,1.15959,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,1671.68,0.70686,0.80399,1.14487,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,1737.63,0.6832,0.78904,1.13024,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,1803.62,0.66148,0.75779,1.11435,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,1869.6,0.66756,0.79019,1.12117,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,1935.55,0.65465,0.73762,1.11259,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,2001.5,0.6477,0.73647,1.11359,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,2067.5,0.63713,0.73103,1.09909,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,2133.46,0.63948,0.73456,1.10279,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,2199.38,0.59438,0.68038,1.07515,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,2265.35,0.60357,0.68728,1.08397,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,2331.32,0.60762,0.67789,1.08132,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,2397.34,0.60729,0.67422,1.0869,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,2463.37,0.58961,0.65774,1.07335,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,2529.43,0.55806,0.64308,1.06115,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,2596.14,0.58402,0.67734,1.07664,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,2662.15,0.54775,0.61956,1.04539,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,2728.11,0.54043,0.62589,1.04397,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,2794.08,0.56415,0.64662,1.05912,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,2860.15,0.53051,0.60216,1.03839,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,2926.21,0.52256,0.59787,1.03571,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,2992.25,0.52045,0.57964,1.03398,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,3058.25,0.50791,0.57968,1.0286,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,3124.3,0.50463,0.56106,1.03076,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,3190.27,0.49853,0.57176,1.0284,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,3256.22,0.49203,0.55733,1.01586,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,3322.18,0.47703,0.54767,1.00781,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,3388.24,0.48849,0.55533,1.01762,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,3454.2,0.46868,0.53788,1.00437,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,3520.18,0.48718,0.55217,1.01645,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,3586.13,0.47027,0.5334,1.00997,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,3652.21,0.45298,0.51104,0.99998,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,3718.27,0.44755,0.50605,0.99,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,3784.26,0.45919,0.51947,0.99843,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,3850.3,0.45683,0.5134,1.00147,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,3916.34,0.44298,0.51512,0.99428,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,3982.29,0.44015,0.49942,0.99709,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,4048.26,0.42035,0.47718,0.98211,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,4114.32,0.43575,0.50061,0.99643,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,4186.81,0.42238,0.46971,0.98639,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,4259.18,0.42358,0.46881,0.9879,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,4331.13,0.41157,0.46253,0.97676,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,4402.99,0.40335,0.46056,0.96749,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,4475.31,0.41974,0.47339,0.98512,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,4547.2,0.40808,0.45944,0.97769,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,4618.86,0.4125,0.45601,0.98446,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,4687.74,0.39592,0.44119,0.96769,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
